name,lat,lon
U Blaženky,50.06793,14.384913
Písnice,49.99116,14.468513
Novoborská,50.12628,14.498531
Královice,50.03704,14.635599
Praha-Běchovice střed,50.083626,14.615585
Na Kovárně,50.117928,14.628386
Vozovna Strašnice,50.075504,14.489729
Podolská vodárna,50.058975,14.419935
Ďáblice,50.148674,14.486677
Domov seniorů Ďáblice,50.135544,14.474096
Flora,50.07817,14.461779
Ortenovo náměstí,50.10772,14.447826
Ke Kazínu,49.956413,14.342335
Fashion Arena Štěrboholy,50.07469,14.540369
Nádraží Modřany,50.004177,14.40352
Střelničná,50.12577,14.458929
Kuchyňka,50.11699,14.450306
Bečovská,50.043114,14.586886
Ohradní,50.05237,14.453601
Plánická,49.992046,14.365441
Amforová,50.04178,14.327298
Nový Prosek,50.12111,14.504042
Bubenská,50.098103,14.436589
K Zelenči,50.123287,14.62397
Řezáčovo náměstí,50.100765,14.4372
Hlavní,50.04673,14.486985
U Kříže,50.112244,14.47554
U Vojenské nemocnice,50.090183,14.363919
Korandova,50.022583,14.421117
Háje,50.030518,14.526902
Na Křečku,50.04418,14.567109
Můstek,50.08347,14.423973
Na Parcelách,50.110508,14.335283
Klamovka,50.070824,14.379892
Dobronická,50.011017,14.471958
Ořešská,50.03042,14.304958
Nad Havlem,50.034092,14.448812
Nádraží Radotín,49.98459,14.36313
Nemocnice Bulovka - gynekologie,50.1161,14.460119
Podhajská pole,50.1297,14.430872
Vlastina,50.091263,14.316939
Terminál 1,50.107456,14.268614
Jilemnická,50.136887,14.550188
Kyselova,50.126167,14.463701
Ctěnický zámek,50.148277,14.562317
Bucharova,50.054016,14.339026
K Fialce,50.055718,14.329456
Katovická,50.13211,14.428075
U Lesíka,50.06471,14.358576
Libošovická,50.11119,14.599493
Černická,50.08015,14.505984
Högerova,50.034374,14.380959
Sídliště Barrandov,50.031364,14.36829
Nové náměstí,50.03168,14.598007
Prosek,50.119286,14.498221
Jizbická,50.110165,14.622798
Kbely,50.130783,14.551315
Smržovská,50.09491,14.668839
Praha-Žvahov,50.045673,14.402428
U Křížku,50.01598,14.35671
Krňovická,50.10193,14.65907
Hutě,50.108627,14.557475
Michnovka,50.039444,14.397184
K Noskovně,50.11145,14.325092
Nový Zličín,50.055668,14.283342
Pod Hájem,50.124683,14.381426
Na Šafránce,50.075542,14.3471
Kolonie,50.09339,14.525186
Ústřední,50.069656,14.543448
Tupolevova,50.134506,14.505892
Zálužická,49.99063,14.442199
Praha-Holyně,50.032845,14.348548
Karenova,50.063385,14.368306
Praha-Velká Chuchle,50.01134,14.388897
Sezemická,50.124542,14.619257
Osecká,50.14633,14.448543
Radlická,50.058594,14.388903
Povltavská,50.116077,14.433817
Sibiřské náměstí,50.10461,14.405958
Lánská,50.098644,14.540519
Závist,49.97618,14.401898
Sídliště Baba,50.115974,14.386904
Na Viničkách,49.980045,14.352182
Ke Schodům,50.014183,14.415817
Zahradnictví,50.003162,14.384061
V Uličce,50.041443,14.395779
Březiněveská,50.12653,14.456921
Pod Zatáčkou,49.956005,14.381588
Na Vypichu,50.084038,14.34005
Slavia - Nádraží Eden,50.06881,14.470062
Ústav mateřství,50.02451,14.460043
Řeporyjské náměstí,50.032806,14.312009
Na Míčánkách,50.071125,14.46415
Nádraží Vysočany,50.11023,14.499046
Pod Šmukýřkou,50.061184,14.375434
Zličín,50.054676,14.290154
U Dobešky,50.040196,14.419165
Pražského povstání,50.05615,14.43443
Praha-Horní Měcholupy,50.048023,14.56557
Pod Lipkami,50.07296,14.373112
Šatovka,50.117523,14.374884
Náměstí Míru,50.07506,14.438079
Nárožní,50.05342,14.330021
Cukrovar Modřany,49.99906,14.406416
Příbramská,49.977764,14.346405
Toužimská,50.136276,14.522711
Vozovna Hloubětín,50.107674,14.528366
Klíčov,50.116818,14.514342
Za Novákovou zahradou,50.123825,14.577425
Dětská nemocnice Karlov,50.07078,14.428555
Rokoska,50.11738,14.457513
Olšanská,50.08345,14.464969
Českomalínská,50.104683,14.403407
Okořská,50.135906,14.431482
Nemocnice pod Petřínem,50.086884,14.396353
Sekeřická,50.113052,14.610129
Klášterecká,50.14601,14.455856
Dolnočernošická,49.95974,14.328898
Sídliště Homolka,50.07363,14.351759
Poliklinika Prosek,50.12807,14.491937
Serpentina,50.03608,14.401023
Vozovna Motol,50.06786,14.340922
Praha-Čakovice,50.149044,14.519135
Sídliště Novodvorská,50.02511,14.434394
Bártlova,50.118935,14.632621
Koupaliště Čakovice,50.147636,14.524943
Náměstí Winstona Churchilla,50.084103,14.440859
Na Veselí,50.05553,14.440127
Apolinářská,50.07151,14.426756
Na Santince,50.106945,14.388667
Přístav Holešovice,50.104706,14.455816
Vlastibořská,50.1203,14.598816
Sibeliova,50.092674,14.384192
Vozovna Žižkov,50.091503,14.475054
Nad Džbánem,50.094025,14.33696
Nad Markétou,50.083515,14.346944
Brechtova,50.035362,14.516752
Dubečská,50.065357,14.502352
Lipnická,50.112557,14.559362
Frančíkova,50.01059,14.356875
Biskupcova,50.08882,14.468716
Petržílova,49.999043,14.423217
Zemědělská univerzita,50.13325,14.377416
Benice,50.01344,14.60513
Novoměstská radnice,50.077457,14.419522
Hotel Golf,50.068066,14.346725
Nemocnice Vinohrady,50.076706,14.475516
Kusá,50.087025,14.360992
Obchodní centrum Štěrboholy,50.07217,14.542742
Třebonice,50.04515,14.280443
Sídliště Kobylisy,50.127045,14.452108
Rokycanova,50.086166,14.455483
Polesná,50.07825,14.654918
Sídliště Zahradní Město,50.056877,14.513167
Palmovka,50.103962,14.474864
Praha-Libeň,50.10079,14.501663
Ivančická,50.14219,14.511956
Barvy a laky,50.065506,14.537081
Lotyšská,50.104263,14.39496
Břevnovská,50.08551,14.364904
V Sudech,49.99224,14.345995
